cdn,city,tour,run,lcp_ms,speed_index_ms,ttfb_ms
Cloudflare,Cape Town,A,6,4635.0,5607.0,655
Cloudflare,Cape Town,A,7,4551.0,5604.0,634
Cloudflare,Cape Town,A,8,4731.0,5049.0,657
Cloudflare,Cape Town,A,9,4619.0,5764.0,639
Cloudflare,Cape Town,B,1,4786.0,5408.0,690
Cloudflare,Cape Town,B,2,5372.0,6035.0,767
Cloudflare,Cape Town,B,3,4915.0,5151.0,637
Cloudflare,Cape Town,B,4,5024.0,5855.0,676
Cloudflare,Cape Town,B,5,4896.0,5857.0,683
Cloudflare,Cape Town,B,6,4828.0,5473.0,647
Cloudflare,Cape Town,B,7,4787.0,4998.0,645
Cloudflare,Cape Town,B,8,5045.0,5815.0,793
Cloudflare,Cape Town,B,9,4975.0,5620.0,648
Cloudflare,Cape Town,C,1,,4629.0,692
Cloudflare,Cape Town,C,2,4529.0,4678.0,685
Cloudflare,Cape Town,C,3,4594.0,4965.0,648
Cloudflare,Cape Town,C,4,4536.0,5389.0,644
Cloudflare,Cape Town,C,5,4605.0,5001.0,646
Cloudflare,Cape Town,C,6,5063.0,5668.0,701
Cloudflare,Cape Town,C,7,4800.0,4455.0,652
Cloudflare,Cape Town,C,8,4560.0,4708.0,687
Cloudflare,Cape Town,C,9,4543.0,4845.0,653
Cloudflare,Cape Town,D,1,5736.0,5882.0,700
Cloudflare,Cape Town,D,2,5821.0,6821.0,824
Cloudflare,Cape Town,D,3,5781.0,5891.0,646
Cloudflare,Cape Town,D,4,5902.0,6132.0,708
Cloudflare,Cape Town,D,5,5764.0,6658.0,657
Cloudflare,Cape Town,D,6,5662.0,6320.0,666
Cloudflare,Cape Town,D,7,5678.0,5848.0,677
Cloudflare,Cape Town,D,8,5705.0,5660.0,658
Cloudflare,Cape Town,D,9,5708.0,6473.0,650
Cloudflare,Dubai,A,1,4771.0,5458.0,336
Cloudflare,Dubai,A,2,,5658.0,323
Cloudflare,Dubai,A,3,3272.0,3952.0,932
Cloudflare,Dubai,A,4,3371.0,4031.0,692
Cloudflare,Dubai,A,5,,5428.0,689
Cloudflare,Dubai,A,6,3260.0,3757.0,828
Cloudflare,Dubai,A,7,3051.0,3791.0,586
Cloudflare,Dubai,A,8,,3454.0,513
Cloudflare,Dubai,A,9,2905.0,3649.0,590
Cloudflare,Dubai,B,1,,4565.0,683
Cloudflare,Dubai,B,2,,3705.0,798
Cloudflare,Dubai,B,3,3242.0,3319.0,628
Cloudflare,Dubai,B,4,,3234.0,658
Cloudflare,Dubai,B,5,3057.0,3224.0,323
Cloudflare,Dubai,B,6,3256.0,3438.0,638
Cloudflare,Dubai,B,7,4835.0,4991.0,599
Cloudflare,Dubai,B,8,3156.0,3218.0,533
Cloudflare,Dubai,B,9,,3224.0,560
Cloudflare,Dubai,C,1,3582.0,3874.0,706
Cloudflare,Dubai,C,2,4925.0,5213.0,650
Cloudflare,Dubai,C,3,,3964.0,320
Cloudflare,Dubai,C,4,3469.0,3690.0,317
Cloudflare,Dubai,C,5,3390.0,3587.0,344
Cloudflare,Dubai,C,6,,3206.0,612
Cloudflare,Dubai,C,7,2860.0,3021.0,542
Cloudflare,Dubai,C,8,2969.0,3100.0,552
Cloudflare,Dubai,C,9,3384.0,3602.0,335
Cloudflare,Dubai,D,1,,11403.0,909
Cloudflare,Dubai,D,2,7531.0,7971.0,704
Cloudflare,Dubai,D,3,,5364.0,318
Cloudflare,Dubai,D,4,7572.0,7926.0,791
Cloudflare,Dubai,D,5,5063.0,5370.0,571
Cloudflare,Dubai,D,6,7368.0,7713.0,711
Cloudflare,Dubai,D,7,5135.0,5329.0,690
Cloudflare,Dubai,D,8,4940.0,5265.0,513
Cloudflare,Dubai,D,9,,6641.0,633
Cloudflare,London,A,1,6028.0,6911.0,775
Cloudflare,London,A,2,2838.0,3032.0,298
Cloudflare,London,A,3,2892.0,4308.0,285
Cloudflare,London,A,4,2974.0,4103.0,325
Cloudflare,London,A,5,2732.0,3755.0,258
Cloudflare,London,A,6,2730.0,4345.0,248
Cloudflare,London,A,7,2776.0,3648.0,265
Cloudflare,London,A,8,2743.0,4198.0,248
Cloudflare,London,A,9,2729.0,3624.0,246
Cloudflare,London,B,1,4188.0,4458.0,735
Cloudflare,London,B,2,2941.0,3593.0,260
Cloudflare,London,B,3,3096.0,3903.0,300
Cloudflare,London,B,4,3047.0,3718.0,268
Cloudflare,London,B,5,3036.0,2913.0,272
Cloudflare,London,B,6,3051.0,2993.0,244
Cloudflare,London,B,7,3055.0,3636.0,248
Cloudflare,London,B,8,3189.0,2837.0,270
Cloudflare,London,B,9,2973.0,3340.0,264
Cloudflare,London,C,1,4061.0,4571.0,1040
Cloudflare,London,C,2,3521.0,4228.0,464
Cloudflare,London,C,3,3882.0,4239.0,786
Cloudflare,London,C,4,2837.0,3694.0,290
Cloudflare,London,C,5,2798.0,3588.0,263
Cloudflare,London,C,6,2985.0,3421.0,286
Cloudflare,London,C,7,2760.0,2805.0,279
Cloudflare,London,C,8,2738.0,3142.0,267
Cloudflare,London,C,9,2665.0,3796.0,274
Cloudflare,London,D,1,4764.0,5006.0,761
Cloudflare,London,D,2,3539.0,3982.0,317
Cloudflare,London,D,3,3671.0,4504.0,281
Cloudflare,London,D,4,3575.0,4671.0,272
Cloudflare,London,D,5,3475.0,4279.0,247
Cloudflare,London,D,6,3433.0,4204.0,243
Cloudflare,London,D,7,3524.0,4382.0,253
Cloudflare,London,D,8,3455.0,3930.0,266
Cloudflare,London,D,9,3455.0,4009.0,265
Cloudflare,Singapore,A,1,14282.0,15198.0,1910
Cloudflare,Singapore,A,2,10868.0,11753.0,1550
Cloudflare,Singapore,A,3,15776.0,15421.0,1220
Cloudflare,Singapore,A,4,3089.0,4579.0,498
Cloudflare,Singapore,A,5,4449.0,5498.0,1828
Cloudflare,Singapore,A,6,,1397.0,569
Cloudflare,Singapore,A,7,,1294.0,527
